年份,营收(亿),营收同比,归母净利润(亿),归母净利润同比,净利率,营业成本(亿),研发费用(亿),经营现金流净额(亿),资本开支现金(亿),自由现金流(亿)=经营-资本开支,经营现金流/净利润,归母权益(亿),总资产(亿),总负债(亿),资产负债率,ROE(净利润/归母权益),应收账款(亿),存货(亿),应收/营收天数(粗略),存货/营业成本天数(粗略),"境外收入(亿,如有)",境外收入占比(如有)
2021,8.83,,2.32,,0.2625,4.62,0.57,1.13,0.10,1.03,0.4891,20.60,23.76,3.05,0.1283,0.1125,5.01,1.79,207.0,141.2,,
2022,7.99,-0.0945,1.55,-0.3305,0.1941,4.50,0.72,2.39,1.90,0.48,1.5377,21.63,25.04,3.29,0.1313,0.0717,3.74,1.85,170.7,150.2,,
2023,11.05,0.3817,2.07,0.3333,0.1873,5.95,0.95,0.98,0.24,0.74,0.4750,23.07,28.21,4.90,0.1738,0.0896,5.22,2.36,172.4,144.9,,
2024,12.99,0.1758,3.15,0.5220,0.2424,7.08,0.85,2.80,0.38,2.42,0.8889,25.88,33.20,7.09,0.2134,0.1216,5.23,3.90,147.1,201.3,,
