股票代码,股票名称,行业,总市值(亿元),市盈率TTM,市净率,营收(亿元),净利润(亿元),净利率,近120日涨跌幅,近250日涨跌幅,距250日高点回撤,综合分,标记
600557,康缘药业,中药,23.43,30.24,1.71,31.34,3.92,0.1251,-0.0896,-0.0035,-0.2829,33.00,
601900,南方传媒,文化传媒,62.83,10.35,1.36,89.77,8.10,0.0902,-0.1255,-0.0859,-0.2198,33.00,
600305,恒顺醋业,食品饮料,16.28,46.02,2.59,22.92,1.27,0.0556,0.0315,-0.0344,-0.0698,33.00,
603519,立霸股份,家电行业,12.31,20.32,2.69,17.13,1.59,0.0928,-0.0452,-0.0131,-0.1257,33.00,
300708,聚灿光电,光学光电子,24.99,35.98,2.94,32.37,1.96,0.0604,0.0449,-0.0370,-0.1500,33.00,
000795,英洛华,小金属,27.27,42.27,4.35,37.10,2.48,0.0668,-0.0468,-0.0216,-0.2179,33.00,
002106,莱宝高科,光学光电子,46.88,25.15,1.40,61.69,3.74,0.0607,0.0782,-0.0018,-0.1383,33.00,
600551,时代出版,文化传媒,54.92,15.11,0.95,75.47,4.00,0.0529,-0.0804,-0.0824,-0.1858,33.00,
600572,康恩贝,中药,49.76,14.48,1.60,65.78,6.22,0.0946,0.0000,-0.0389,-0.0787,33.00,
002267,陕天然气,燃气,59.57,13.21,1.27,85.58,7.24,0.0846,-0.0347,-0.0421,-0.1925,33.00,
000750,国海证券,证券,26.17,28.93,1.21,47.28,4.28,0.0906,0.0467,-0.0554,-0.1306,33.00,
300566,激智科技,光学光电子,16.28,21.77,2.30,21.64,1.90,0.0879,-0.0218,-0.0081,-0.2049,33.00,
000156,华数传媒,文化传媒,64.07,29.86,0.93,94.53,5.34,0.0565,-0.0360,-0.0372,-0.1918,33.00,
601952,苏垦农发,农牧饲渔,68.09,31.14,1.86,102.74,7.30,0.0711,-0.0719,-0.0458,-0.1785,33.00,
300861,美畅股份,非金属材料,15.19,47.79,1.58,18.98,1.46,0.0767,0.0376,-0.0100,-0.2066,33.00,
600918,中泰证券,证券,90.05,30.20,1.18,124.73,9.37,0.0751,0.0154,-0.0294,-0.1019,33.00,
002216,三全食品,食品饮料,50.00,18.86,2.20,65.08,5.42,0.0833,0.0310,-0.0551,-0.0973,33.00,
601921,浙版传媒,文化传媒,67.56,20.42,1.27,108.55,10.83,0.0997,-0.0214,-0.0432,-0.1611,33.00,
601200,上海环境,环保行业,45.71,15.55,0.93,65.25,5.75,0.0882,-0.0012,-0.0160,-0.0782,33.00,
603689,皖天然气,燃气,38.12,12.23,1.20,53.61,3.33,0.0620,-0.0469,-0.0435,-0.1086,33.00,
603867,新化股份,化学制品,21.97,22.12,1.86,29.74,2.27,0.0763,-0.0004,-0.0215,-0.2468,33.00,
600479,千金药业,中药,27.18,19.96,1.60,36.33,2.31,0.0635,-0.0184,-0.0315,-0.1043,33.00,
601880,辽港股份,航运港口,84.26,21.62,0.93,115.43,11.44,0.0991,0.0600,-0.0479,-0.1497,33.00,
600017,日照港,航运港口,56.62,13.14,0.65,78.42,6.55,0.0835,-0.0447,-0.0417,-0.1075,33.00,
603237,五芳斋,食品饮料,19.85,13.98,1.85,21.89,1.42,0.0649,-0.0242,-0.0821,-0.2409,33.00,
301058,中粮科工,工程建设,17.16,35.56,2.56,30.36,2.34,0.0770,-0.0189,-0.0241,-0.2074,33.00,
300664,鹏鹞环保,环保行业,11.36,11.23,0.92,17.33,1.59,0.0917,-0.0237,-0.0514,-0.1481,33.00,
001213,中铁特货,物流行业,84.53,28.49,0.94,118.53,6.67,0.0563,-0.0122,-0.0265,-0.1583,33.00,
002722,物产金轮,纺织服装,18.11,25.63,1.16,23.10,1.58,0.0682,-0.0518,-0.0391,-0.2271,33.00,
300387,富邦科技,化肥行业,10.16,22.74,1.65,13.21,0.94,0.0709,-0.1000,-0.0397,-0.1802,33.00,
688639,华恒生物,化学制品,21.94,36.38,3.03,28.32,1.90,0.0669,0.0450,-0.0284,-0.1677,33.00,
